base_id,recorded_label,ms_win_rate,condition,answers,win_rate
undefended-win-000,True,1.0,none,8,0.75
undefended-win-001,True,1.0,none,8,0.375
undefended-win-002,True,1.0,none,8,0
undefended-win-003,True,1.0,none,8,0.25
undefended-win-004,True,0.75,none,8,0.625
undefended-win-005,True,1.0,none,8,0.75
undefended-win-006,True,0.6667,none,8,0.125
undefended-win-007,True,1.0,none,8,0.75
undefended-win-008,True,0.3333,none,8,0.75
undefended-win-009,True,0.25,none,8,0.125
undefended-win-010,True,1.0,none,8,0.25
undefended-win-011,True,1.0,none,8,0.875
undefended-win-012,True,0.6667,none,8,0.25
undefended-win-013,True,1.0,none,8,0.875
undefended-win-014,True,1.0,none,8,0.75
undefended-win-015,True,1.0,none,8,0.375
undefended-win-016,True,0.6667,none,8,0.25
undefended-win-017,True,0.6667,none,8,0.625
undefended-win-018,True,0.5,none,8,0.25
undefended-win-019,True,1.0,none,8,0.125
undefended-win-020,True,0.0909,none,8,0
undefended-win-021,True,0.125,none,8,0
undefended-win-022,True,0.7222,none,8,0.25
undefended-win-023,True,1.0,none,8,0.75
undefended-win-024,True,0.6667,none,8,0
undefended-win-025,True,0.4,none,8,0.625
undefended-win-026,True,0.7778,none,8,0.5
undefended-win-027,True,0.5,none,8,0.75
undefended-win-028,True,0.8,none,8,0.375
undefended-win-029,True,1.0,none,8,0.25
undefended-win-030,True,0.5,none,8,0
undefended-win-031,True,1.0,none,8,0.5
undefended-win-032,True,1.0,none,8,0.5
undefended-win-033,True,1.0,none,8,0.625
undefended-win-034,True,1.0,none,8,0.125
undefended-win-035,True,0.6,none,8,0.375
undefended-win-036,True,0.5,none,8,0
undefended-win-037,True,1.0,none,8,0.5
undefended-win-038,True,0.3333,none,8,0
undefended-win-039,True,0.5,none,8,0
undefended-win-040,True,0.5,none,8,0.25
undefended-win-041,True,0.2,none,8,0.375
undefended-win-042,True,0.0909,none,8,0.25
undefended-win-043,True,0.3333,none,8,0
